ff,city,state,pop,obese
5,Malibu,CA,10798770,23.100000
3,Mammoth Lakes,CA,14348,21.800000
6,Manhattan Beach,CA,9962789,22.300000
15,Manteca,CA,702612,28.366666
1,Marin City,CA,256069,18.266666
5,Marina,CA,426762,23.100000
1,Mariposa,CA,17905,24.100000
2,Martell,CA,37035,23.933333
10,Martinez,CA,1079597,24.066666
17,Marysville,CA,294465,28.600000
3,Maywood,CA,9962789,22.300000
1,McClellan Afb,CA,1450121,26.700000
1,McFarland,CA,856158,26.900000
3,McKinleyville,CA,134827,25.600000
2,Menifee,CA,2268783,26.233333
3,Menlo Park,CA,739311,21.400000
18,Merced,CA,262305,29.100000
1,Midway City,CA,3090132,21.700000
5,Mill Valley,CA,256069,18.266666
6,Millbrae,CA,739311,21.400000
33,Milpitas,CA,3392224,22.133333
4,Mira Loma,CA,4350096,26.800000
2,Mira Mesa,CA,3177063,23.400000
3,Mission Hills,CA,9962789,22.300000
2,Mission Valley,CA,3177063,23.400000
15,Mission Viejo,CA,3090132,21.700000
57,Modesto,CA,521726,28.466666
6,Mojave,CA,856158,26.900000
6,Monrovia,CA,9962789,22.300000
11,Montclair,CA,2081313,26.800000
15,Montebello,CA,9962789,22.300000
5,Monterey,CA,426762,23.100000
4,Monterey Park,CA,9962789,22.300000
2,Montrose,CA,9962789,22.300000
5,Moorpark,CA,835981,23.100000
3,Moraga,CA,1079597,24.066666
25,Moreno Valley,CA,2268783,26.233333
13,Morgan Hill,CA,1837504,22.133333
3,Morro Bay,CA,1110785,23.100000
3,Mount Shasta,CA,44154,24.266666
16,Mountain View,CA,1837504,22.133333
17,Murrieta,CA,2268783,26.233333
21,Napa,CA,559802,26.066666
15,National City,CA,3177063,23.400000
5,Needles,CA,2081313,26.800000
13,Newark,CA,1554720,21.700000
5,Newbury Park,CA,835981,23.100000
8,Newhall,CA,9962789,22.300000
2,Newman,CA,784031,29.100000
16,Newport Beach,CA,3090132,21.700000
3,Nipomo,CA,274804,21.933333
11,Norco,CA,2268783,26.233333
10,North Highlands,CA,1450121,26.700000
4,North Hills,CA,9962789,22.300000
31,North Hollywood,CA,9962789,22.300000
2,North Palm Springs,CA,2268783,26.233333
21,Northridge,CA,9962789,22.300000
23,Norwalk,CA,9962789,22.300000
10,Novato,CA,256069,18.266666
11,Oakdale,CA,1224338,28.533333
6,Oakhurst,CA,152218,28.000000
45,Oakland,CA,2634317,24.066666
